id;lrn;first_name;middle_name;last_name;ext_name;enrollment_date;birth_date;birth_place;contact_no;address_1;address_2;city;zip_code;country;nationality;mother_tongue;religion;fathers_last_name;fathers_middle_name;fathers_first_name;fathers_ext_name;fathers_occupation;fathers_contacts;mothers_last_name;mothers_middle_name;mothers_first_name;mothers_occupation;mothers_contacts;guardian_full_name;guardian_contacts;created_by;created_date;last_modified_by;last_modified_date
1;nor;Roscoe;suddenly;Wintheiser;teammate;2026-07-06T05:04:43;2026-07-05T17:45:29;excluding toward;deer legend ;newsletter;because;Vancouver;73315;Bouvet Island;why because swing;good-natured;unlike who;tame;opposite trust;yet intrigue;bitter acidly buzzing;deform excited offset;disposer cop-out;aboard behind;allocation suckle;times tabulate;yahoo absent;rudely;emphasise quiet before;uselessly what though;hot jazz um;2026-07-05T20:33:12;royal;2026-07-05T22:43:48
2;miskey;Leon;by provided;Purdy;deselect p;2026-07-06T13:40:06;2026-07-06T12:13:53;brr dull potentially;futon polish;down rim um;gosh er;Guston;21809-3651;Singapore;as youthful;nudge that whether;mousse mmm;upliftingly perp;daily boldly;canter zesty minister;hmph best;gosh;loose an bran;charlatan;yahoo dramatic;phooey;whoever silky ack;self-confidence;drat yahoo friendly;hoof;issue;2026-07-06T13:50:21;proud;2026-07-05T16:25:06
3;throughout;Claude;an loyally;Langworth;hence;2026-07-05T20:16:33;2026-07-05T15:57:13;acidic;drug across ;know wrong;gosh fondly why;North Rodolfoville;49639;Cape Verde;owlishly rotating;requite;fortunate;consequently notwithstanding yesterday;warped instead;import quaff;solemnly psst;along;generously cannibalise really;vastly armoire unfortunate;recount;yuck comfortable mockingly;vague ghost;beneath plan because;debut deserted;down zowie;massive;2026-07-06T13:28:40;next controvert recklessly;2026-07-06T08:17:39
4;now;Marian;pish;Kuvalis;zebra;2026-07-06T11:06:30;2026-07-05T16:33:11;republican;numb miserab;off pace;valentine;Funkville;30814;Israel;if geez;impressive near;ew retool rusty;minor phooey better;during substitution;yearningly emphasize worth;soft eternity;ew;density;because;uniform annually;brown at;junior;ugh however shipper;seriously;gah rejigger yuck;some;2026-07-06T04:44:30;pfft appertain jam-packed;2026-07-05T15:34:44
5;which sometimes;Travon;offensively boohoo nearly;Kunze;er althoug;2026-07-06T02:25:43;2026-07-05T21:25:08;solution;bowed even d;midst;netsuke uneven;Tremaineton;60787;New Caledonia;anxiously till;as guest;madly nor guzzle;pacemaker anesthetize;reboot sneaky;but jot;like now terribly;unnecessarily fictionalize;badly which what;yet underneath;ironclad wholly galvanize;bah up;excepting with reservation;shark ouch;proceed milestone;thyme;viciously aw ew;2026-07-06T09:31:34;along;2026-07-06T02:18:03
6;cluttered duh;Darren;whenever despite;Bechtelar;whenever h;2026-07-06T03:47:27;2026-07-06T11:02:37;yet thankfully;times;gadzooks while where;pleasing;Lake Myrna;92157-0842;Sint Maarten;however;meanwhile gee towards;obedience;yahoo ugh peaceful;failing refer;deceivingly ew gah;malfunction posh;righteously;uh-huh skean underneath;yippee digital yuck;boom lighthearted yogurt;suddenly fond;on;lumpy;times jaywalk alive;er up;shoulder without;2026-07-06T12:01:13;lumpy what;2026-07-06T01:10:11
7;soybean;Shayne;aha like;Dare-Bosco;ick aside ;2026-07-05T22:42:37;2026-07-05T22:07:16;while hm minus;untried extr;husky;though detective mentor;Nikitafurt;25855-8105;Tajikistan;er black steak;although daily sympathetically;masticate torn mixture;reluctantly powerfully;upright yum;since;for abnormally psst;opposite aha rust;dim;joint sleepy ugh;after;celsius joy corrupt;sun;co-producer;now;why;abaft abseil ouch;2026-07-05T17:21:26;traduce abaft the;2026-07-05T19:14:20
8;mobilise lest;Clint;who;Koss;indeed;2026-07-05T19:12:51;2026-07-06T01:15:11;long monstrous;apostrophize;what far;before;San Luis Obispo;50661;Puerto Rico;annually fooey;boohoo yahoo;nightlife wearily as;chubby;since lest;incomplete;doubtfully psst;needy;upon;forenenst now;spew;posh;countess concentration;shoulder goose easily;finally provided;pish instead trained;fair happy solder;2026-07-06T05:56:26;hmph polarisation;2026-07-06T12:05:19
9;now zowie interesting;Adrian;queasy;Rosenbaum;eventually;2026-07-06T10:46:37;2026-07-06T02:22:49;splendid serpentine;indeed brr;mozzarella aboard;fully nucleotidase before;South Stanley;79415;Tanzania;institutionalize;where;uselessly biodegradable;stale own;gastropod aged;worldly exhaust but;whoever eek heartache;waltz;jot;boohoo reflate whereas;meh gloss;buzzing;drain;chip;phew fine at;settler or;arrange after;2026-07-05T15:38:22;mummify;2026-07-06T07:46:49
10;scorpion;Pearl;tightly atrium;Kulas;unique;2026-07-06T01:18:23;2026-07-06T13:22:34;fireplace maestro;chapel lieu;but throughout ironclad;wherever elegant dead;East Los Angeles;39035-1704;Eritrea;navigate gently;attend;deceivingly whose grok;overdue at;likable understanding aside;qua;ack;devastation split;wafer a;somber;however please;crumble seemingly supposing;of after;afore as nearly;if;altruistic;rust brr;2026-07-05T20:03:40;by but;2026-07-06T00:27:13
11;above about;Celestino;lest;Rath;or extrove;2026-07-06T06:12:21;2026-07-05T16:16:01;including enthusiastically;near instead;surprisingly;premeditation noted;Botsfordfort;18871;Sudan;outsource;coolly;alongside woot rosemary;retrospectivity manipulate;upon upon steel;gadzooks provided;afore since;whoever license whose;sadly;elver step-mother;until crank;testify unsteady bashfully;preregister potentially once;whose to lovingly;physically aw scrutinise;next;finally kettledrum sheepishly;2026-07-05T21:45:56;vice scar;2026-07-05T23:25:11
12;however eternity;Pauline;mad;Gusikowski;forenenst ;2026-07-06T10:57:10;2026-07-05T22:04:28;longingly afore;psst;softly;boo whistle;Larsonbury;49149;Congo;unto silently unfortunately;etch pfft or;chilly drat;excluding;nor versus huzzah;long-term;bob glimmer round;unbearably aboard;since;if;trim;fantastic heavily finally;aha;freely statement joyfully;abaft circa usefully;hovercraft versus;redress;2026-07-06T07:05:11;whereas;2026-07-06T11:10:56
13;sport;Bernard;downright;Gutkowski-Stark;now showy;2026-07-06T08:44:56;2026-07-06T09:42:15;aside;numeracy pos;uh-huh because;boo cutlet fit;Fargo;66322-1578;Guam;trench fooey department;till hamburger;comfortable;although so sensitize;or;punctuation limply;trusting except geez;sorrowful;acquire;glisten taxicab;trustworthy to;before;far-flung;given what;scramble;aw;ill-fated;2026-07-06T04:54:29;within notwithstanding;2026-07-06T07:36:53
14;failing exacerbate except;Raymundo;ah community;Beier;ha;2026-07-06T08:29:42;2026-07-06T10:42:28;witty reward;napkin knuck;beard energetically whereas;splurge but stingy;West Benjaminberg;20857;Yemen;following inculcate than;embalm boohoo which;throughout;bah settle;agitated;rewarding;geez;tackle;ugly;hydrocarbon boggle lender;eek spook;skateboard excluding;spice what;weird chiffonier jaggedly;exalt steeple;frantically;bank;2026-07-06T09:26:47;whenever scarily;2026-07-05T22:09:38
